n;len;C;lapse
5;1;frozenset({1});4.7206878662109375e-05
6;2;frozenset({1, 2});0.00014734268188476562
7;2;frozenset({0, 3});0.00011086463928222656
8;2;frozenset({0, 6});0.00017881393432617188
9;2;frozenset({0, 1});0.0001327991485595703
10;2;frozenset({4, 5});0.0006663799285888672
11;2;frozenset({9, 7});0.0008664131164550781
12;2;frozenset({8, 2});0.0005936622619628906
13;3;frozenset({0, 1, 4});0.001626729965209961
14;3;frozenset({0, 3, 6});0.002180337905883789
15;3;frozenset({1, 2, 12});0.004768848419189453
16;3;frozenset({1, 4, 7});0.0063076019287109375
17;3;frozenset({0, 10, 6});0.004962444305419922
18;3;frozenset({1, 2, 14});0.00857853889465332
19;4;frozenset({0, 1, 2, 18});0.0333409309387207
20;3;frozenset({2, 19, 7});0.018927574157714844
21;2;frozenset({2, 11});0.00200653076171875
22;3;frozenset({2, 4, 21});0.020854711532592773
23;4;frozenset({0, 11, 3, 19});0.09668874740600586
24;4;frozenset({0, 1, 18, 5});0.08771944046020508
25;3;frozenset({0, 17, 10});0.01740407943725586
26;4;frozenset({0, 1, 4, 7});0.12277102470397949
27;4;frozenset({0, 1, 9, 14});0.18970465660095215
28;4;frozenset({0, 19, 13, 14});0.32160282135009766
29;4;frozenset({8, 1, 21, 23});0.4894118309020996
30;4;frozenset({2, 3, 4, 23});0.671837568283081
31;4;frozenset({8, 1, 28, 23});0.6812095642089844
32;4;frozenset({2, 10, 12, 31});1.0953032970428467
33;4;frozenset({0, 9, 17, 22});0.5638589859008789
34;4;frozenset({0, 1, 2, 13});0.4250013828277588
35;4;frozenset({8, 1, 26, 12});1.2041239738464355
36;4;frozenset({8, 1, 20, 14});1.4682035446166992
37;4;frozenset({25, 13, 30, 7});5.263670921325684
38;5;frozenset({0, 1, 36, 7, 30});8.642516613006592
39;4;frozenset({24, 1, 37, 5});1.9100148677825928
40;5;frozenset({0, 1, 33, 38, 9});12.757375717163086
41;5;frozenset({0, 1, 2, 4, 10});12.68462324142456
42;5;frozenset({0, 1, 32, 38, 7});15.347476482391357
43;5;frozenset({0, 2, 3, 23, 15});19.24282479286194
44;4;frozenset({24, 1, 19, 37});3.333608865737915
45;5;frozenset({0, 1, 10, 27, 13});22.01095676422119
46;5;frozenset({2, 37, 6, 39, 13});68.99254751205444
47;5;frozenset({2, 37, 22, 40, 15});95.76960921287537
48;5;frozenset({0, 33, 20, 10, 13});45.92109155654907
49;5;frozenset({0, 2, 4, 5, 6});43.07347512245178
50;5;frozenset({0, 17, 37, 8, 29});50.474828481674194
51;5;frozenset({0, 3, 38, 6, 47});47.57331562042236
52;5;frozenset({0, 2, 4, 20, 39});46.114797592163086
53;5;frozenset({1, 4, 21, 24, 11});578.9795808792114
