n;len;C;lapse
5;1;{1};3.9577484130859375e-05
6;2;{1, 2};1.9311904907226562e-05
7;2;{1, 3};1.7881393432617188e-05
8;2;{0, 6};3.457069396972656e-05
9;2;{0, 1};2.6941299438476562e-05
10;2;{4, 5};3.743171691894531e-05
11;2;{9, 7};4.220008850097656e-05
12;3;{0, 9, 3};6.508827209472656e-05
13;3;{0, 1, 4};6.341934204101562e-05
14;3;{0, 3, 13};7.224082946777344e-05
15;3;{1, 6, 7};7.200241088867188e-05
16;3;{8, 3, 11};8.7738037109375e-05
17;3;{2, 3, 13};9.5367431640625e-05
18;3;{1, 2, 14};0.00010418891906738281
19;4;{1, 2, 3, 15};0.00012087821960449219
20;3;{2, 19, 7};0.00011610984802246094
21;2;{2, 11};0.00010371208190917969
22;4;{9, 3, 4, 1};0.0001361370086669922
23;4;{0, 9, 10, 19};0.00015473365783691406
24;4;{16, 3, 4, 6};0.00016379356384277344
25;4;{1, 18, 3, 5};0.00015974044799804688
26;4;{0, 9, 13, 1};0.00019884109497070312
27;4;{1, 4, 14, 7};0.00020647048950195312
28;4;{8, 13, 14, 7};0.00024509429931640625
29;4;{27, 11, 19, 9};0.00022101402282714844
30;4;{8, 2, 4, 13};0.0003483295440673828
31;4;{9, 3, 13, 6};0.000278472900390625
32;5;{5, 6, 7, 10, 17};0.00031185150146484375
33;5;{0, 2, 5, 9, 12};0.0003619194030761719
34;4;{0, 1, 2, 13};0.0002791881561279297
35;5;{0, 1, 2, 8, 12};0.0003046989440917969
36;4;{24, 20, 13, 14};0.0003018379211425781
37;5;{2, 36, 4, 18, 24};0.0004074573516845703
38;5;{2, 4, 5, 13, 23};0.00039696693420410156
39;4;{24, 1, 37, 5};0.0004658699035644531
40;5;{1, 3, 4, 19, 26};0.0004062652587890625
41;5;{32, 1, 18, 21, 23};0.0004031658172607422
42;5;{3, 7, 40, 8, 15};0.00039887428283691406
43;5;{2, 37, 8, 11, 28};0.00042629241943359375
44;5;{2, 3, 40, 15, 23};0.0005598068237304688
45;5;{1, 40, 10, 11, 16};0.0005233287811279297
46;5;{2, 35, 34, 11, 20};0.0006186962127685547
47;5;{2, 36, 19, 26, 30};0.0006415843963623047
48;5;{6, 7, 9, 44, 47};0.0006015300750732422
49;5;{42, 13, 18, 19, 20};0.0005605220794677734
50;5;{8, 11, 17, 20, 29};0.0006091594696044922
51;5;{33, 1, 3, 6, 47};0.0007882118225097656
52;6;{0, 1, 5, 41, 20, 31};0.0007359981536865234
53;6;{1, 5, 6, 47, 19, 28};0.0007066726684570312
54;5;{33, 6, 15, 18, 25};0.0007314682006835938
55;5;{9, 12, 52, 24, 29};0.0007281303405761719
56;5;{6, 9, 43, 53, 25};0.0008292198181152344
57;5;{36, 15, 17, 19, 53};0.001140594482421875
58;5;{36, 38, 11, 48, 25};0.0010805130004882812
59;6;{2, 38, 39, 13, 14, 17};0.001043558120727539
60;5;{0, 35, 6, 7, 55};0.001241445541381836
61;6;{2, 7, 10, 12, 45, 46};0.0011174678802490234
62;6;{2, 3, 8, 52, 20, 22};0.0011241436004638672
63;6;{35, 3, 38, 7, 12, 21};0.0012524127960205078
64;5;{37, 13, 46, 29, 30};0.0012195110321044922
65;6;{1, 42, 47, 52, 22, 62};0.0011303424835205078
66;6;{3, 12, 46, 15, 21, 27};0.0012307167053222656
67;6;{1, 6, 7, 8, 18, 57};0.0012149810791015625
68;6;{1, 2, 3, 5, 38, 9};0.0012574195861816406
69;6;{33, 65, 2, 36, 8, 11};0.0012059211730957031
70;5;{45, 47, 55, 25, 60};0.0014357566833496094
71;6;{38, 9, 12, 52, 55, 31};0.0017352104187011719
72;6;{64, 0, 3, 37, 10, 47};0.0017421245574951172
73;6;{6, 71, 44, 53, 26, 59};0.002003908157348633
74;6;{6, 12, 47, 16, 17, 23};0.0019330978393554688
75;6;{0, 4, 10, 11, 17, 54};0.0018656253814697266
76;6;{33, 4, 51, 54, 57, 30};0.0015668869018554688
77;6;{0, 1, 67, 12, 13, 18};0.0014023780822753906
78;6;{32, 36, 10, 13, 16, 63};0.0018351078033447266
79;7;{0, 33, 3, 5, 45, 18, 28};0.002635955810546875
80;6;{4, 7, 8, 11, 14, 22};0.0022704601287841797
81;6;{0, 46, 80, 20, 52, 61};0.0022280216217041016
82;6;{3, 42, 14, 47, 50, 21};0.0018308162689208984
83;6;{3, 19, 52, 22, 57, 63};0.0015349388122558594
84;6;{1, 66, 35, 12, 47, 19};0.0016202926635742188
85;6;{0, 66, 5, 11, 18, 58};0.0019822120666503906
86;6;{33, 5, 70, 80, 20, 25};0.002653360366821289
87;7;{0, 4, 5, 14, 49, 57, 25};0.001992464065551758
88;6;{3, 9, 74, 12, 17, 22};0.001631021499633789
89;6;{0, 9, 78, 16, 17, 85};0.002178668975830078
90;6;{0, 34, 4, 37, 48, 85};0.0020360946655273438
91;6;{2, 76, 12, 14, 79, 59};0.001802682876586914
92;6;{68, 42, 43, 80, 18, 21};0.0019173622131347656
93;7;{0, 39, 8, 16, 20, 22, 30};0.0029754638671875
94;6;{1, 34, 4, 40, 11, 62};0.002359151840209961
95;7;{1, 2, 3, 68, 79, 22, 55};0.002142190933227539
96;7;{32, 0, 3, 42, 43, 47, 53};0.002868175506591797
97;6;{71, 9, 42, 75, 61, 29};0.002275705337524414
98;7;{0, 33, 32, 5, 19, 52, 26};0.0024566650390625
99;6;{4, 5, 71, 11, 78, 15};0.0030159950256347656
100;7;{1, 34, 67, 12, 21, 53, 29};0.002650022506713867
