n;len;C;lapse
5;2;{0, 1};4.0531158447265625e-05
6;2;{1, 4};3.0040740966796875e-05
7;2;{0, 6};3.838539123535156e-05
8;2;{0, 3};4.029273986816406e-05
9;2;{5, 7};3.933906555175781e-05
10;3;{0, 1, 2};4.38690185546875e-05
11;3;{0, 1, 6};5.793571472167969e-05
12;2;{8, 3};6.985664367675781e-05
13;3;{0, 2, 4};5.8650970458984375e-05
14;3;{8, 0, 5};6.151199340820312e-05
15;3;{9, 10, 4};6.628036499023438e-05
16;3;{0, 1, 11};0.0001125335693359375
17;3;{10, 11, 6};8.416175842285156e-05
18;4;{0, 2, 5, 14};0.0001010894775390625
19;4;{2, 12, 5, 15};0.00011754035949707031
20;3;{3, 4, 7};0.00010037422180175781
21;3;{0, 2, 15};0.00011730194091796875
22;4;{16, 4, 5, 6};0.00014257431030273438
23;3;{0, 3, 13};0.00012540817260742188
24;4;{0, 2, 12, 21};0.0001544952392578125
25;4;{3, 0, 11, 21};0.000164031982421875
26;4;{25, 2, 3, 5};0.0001766681671142578
27;4;{24, 1, 21, 13};0.00019121170043945312
28;4;{0, 11, 4, 7};0.0001881122589111328
29;5;{2, 4, 5, 6, 12};0.00023937225341796875
30;4;{24, 2, 29, 6};0.0002262592315673828
31;4;{18, 19, 21, 6};0.00022935867309570312
32;4;{9, 10, 1, 17};0.0002789497375488281
33;4;{17, 2, 27, 31};0.00027489662170410156
34;5;{1, 8, 12, 28, 30};0.0003573894500732422
35;4;{1, 11, 12, 14};0.0002970695495605469
36;5;{3, 7, 8, 9, 29};0.00035309791564941406
37;5;{0, 8, 9, 16, 22};0.00040459632873535156
38;5;{3, 4, 14, 15, 31};0.00041866302490234375
39;5;{3, 7, 19, 20, 26};0.00041985511779785156
40;5;{2, 3, 39, 10, 12};0.0004341602325439453
41;5;{1, 2, 4, 5, 38};0.00043392181396484375
42;5;{1, 3, 13, 22, 26};0.0004496574401855469
43;5;{4, 6, 8, 42, 15};0.0005230903625488281
44;5;{0, 8, 10, 18, 28};0.0005123615264892578
45;5;{1, 37, 7, 16, 19};0.0004916191101074219
46;5;{32, 3, 5, 7, 30};0.0004734992980957031
47;5;{3, 5, 9, 22, 31};0.0005567073822021484
48;5;{0, 4, 38, 27, 29};0.0006089210510253906
49;5;{0, 36, 6, 41, 12};0.0007154941558837891
50;5;{35, 5, 40, 16, 30};0.0005450248718261719
